Year;Country;Territory;;
1447;The Byzantine Empire;Constantinople;;
1447;Cyprus;Cyprus;;
1447;Italy;Genoa;;
1447;Greece;Crete;;
1447;Italy;Sicily;;
1447;Italy;Sardinia;;
1447;Italy;Pisa;;
1447;Croatia;Dubrovnik;;
1447;Croatia;Split;;
1447;France;Aix;;
1447;Italy;Venice;;
1447;Spain;Mallorca;;
1447;Italy;Messina;;
1447;France;Marseilles;;
1447;France;Ex-en-provence;;
1447;France;Avignon;;
1448;Italy;Naples;;
1448;Italy;Rome;;
1448;Italy;Peruja;;
1448;Italy;Florence;;
1448;Italy;Milan;;
1448;Italy;Venice;;
1448;Italy;Trento;;
1448;Austria;Sankt Lorenzen-Im-M?rztal;;
1448;Serbia;Belgrade;;
1448;Romania;Bucharest;;
1448;France;Besan?onn;;
1448;France;Chalon;;
1448;France;Lyon;;
1448;France;Bordeaux;;
1448;France;Perpinyan;;
1448;Spain;Barcelona;;
1448;Spain;Tarragona;;
1448;Spain;L?rida;;
1448;France;Toulouse;;
1448;France;Narbonne;;
1448;Spain;Zaragoza;;
1448;Spain;Oviedo;;
1448;Spain;Teruel;;
1448;Spain;La Coru?a;;
1448;Spain;Santiago de Compostela;;
1448;Portugal;Coimbra;;
1448;France;Paris;;
1448;France;Rouen;;
1448;France;Caen;;
1448;England;Bristol;;
1448;England;London;;
1448;England;Weymouth;;
1448;England;Grimsby;;
1448;France;Calais;;
1448;Austria;Innsbruck;;
1448;Ireland;Dublin;;
1448;Ireland;Kilkenny;;
1448;Ireland;Drogheda;;
1448;Ireland;Colchester;;
1448;England;Harvich;;
1448;Spain;Le?n;;
1448;Spain;Almer?a;;
1448;Norway;Oslo;;
1449;France;Strasburg;;
1449;Switzerland;Basle;;
1449;Germany;Mainz;;
1449;Germany;Munich;;
1449;Austria;Vienna;;
1449;Hungary;Budapesht;;
1449;Romania;Oradea;;
1449;Spain;Madrid;;
1449;Italy;Toledo;;
1449;Spain;Seville;;
1449;Purtugal;Lisbon;;
1449;Spain;Soria;;
1449;Germany;Bremen;;
1449;Germany;Hamburg;;
1449;Germany;Lubeck;;
1449;Germany;Kiel;;
1449;Denmark;Ribe;;
1449;Germany;Stralsund;;
1449;Germany;Konigsberg;;
1449;Poland;Elbing;;
1449;Poland;Danzig;;
1449;England;York;;
1449;England;Hull;;
1449;England;Lyncoln;;
1449;England;Lynn;;
1449;England;Newark;;
1449;Belgium;Ghent;;
1449;Norway;Nidaros;;
1449;Norway;Hamar;;
1449;Norway;Bergen;;
1449;Sweden;Visby;;
1449;France;Rennes;;
1449;France;Bresta;;
1449;France;Nantes;;
1450;Germany;Nuremberg;;
1450;Czech Republic;Prague;;
1450;Germany;Erfurt;;
1450;Germany;Cologne;;
1450;Denmark;Randers;;
1450;Denmark;Aalborg;;
1450;Sweden;Lund;;
1450;Denmark;Copenhagen;;
1450;Sweden;Gotland;;
1450;Sweden;Stockholm;;
1451;Germany;Frankfurt;;
1451;Poland;Breslau;;
1451;Poland;Warsaw;;
1451;Poland;Krakow;;
